phase,mag_G,mag_BP,mag_RP
1.6100,10.9453,11.1753,10.5801
1.6200,10.9496,11.1782,10.5760
1.6300,10.9524,11.1790,10.5704
1.6400,10.9538,11.1778,10.5644
1.6500,10.9538,11.1744,10.5588
1.6600,10.9524,11.1695,10.5543
1.6700,10.9505,11.1648,10.5522
1.6800,10.9499,11.1634,10.5540
1.6900,10.9525,11.1676,10.5601
1.7000,10.9586,11.1771,10.5695
1.7100,10.9673,11.1898,10.5806
1.7200,10.9782,11.2043,10.5926
1.7300,10.9908,11.2200,10.6053
1.7400,11.0050,11.2367,10.6187
1.7500,11.0197,11.2529,10.6317
1.7600,11.0326,11.2657,10.6426
1.7700,11.0415,11.2730,10.6497
1.7800,11.0459,11.2749,10.6530
1.7900,11.0461,11.2725,10.6534
1.8000,11.0431,11.2669,10.6517
1.8100,11.0374,11.2590,10.6484
1.8200,11.0298,11.2497,10.6442
1.8300,11.0218,11.2406,10.6402
1.8400,11.0151,11.2334,10.6375
1.8500,11.0110,11.2296,10.6369
1.8600,11.0093,11.2290,10.6380
1.8700,11.0097,11.2313,10.6405
1.8800,11.0130,11.2373,10.6448
1.8900,11.0208,11.2484,10.6513
1.9000,11.0338,11.2645,10.6597
1.9100,11.0483,11.2809,10.6671
1.9200,11.0569,11.2895,10.6694
1.9300,11.0532,11.2837,10.6635
1.9400,11.0351,11.2607,10.6485
1.9500,11.0026,11.2206,10.6244
1.9600,10.9564,11.1639,10.5914
1.9700,10.8979,11.0921,10.5498
1.9800,10.8285,11.0074,10.5006
1.9900,10.7507,10.9130,10.4452
0.0000,10.6674,10.8127,10.3857
0.0100,10.5823,10.7112,10.3243
0.0200,10.4997,10.6136,10.2640
0.0300,10.4241,10.5253,10.2082
0.0400,10.3594,10.4506,10.1598
0.0500,10.3068,10.3905,10.1201
0.0600,10.2635,10.3418,10.0875
0.0700,10.2265,10.3005,10.0594
0.0800,10.1946,10.2645,10.0346
0.0900,10.1680,10.2340,10.0131
0.1000,10.1471,10.2099,9.9954
0.1100,10.1329,10.1934,9.9824
0.1200,10.1287,10.1874,9.9758
0.1300,10.1391,10.1970,9.9792
0.1400,10.1654,10.2263,9.9953
0.1500,10.2021,10.2722,10.0222
0.1600,10.2408,10.3238,10.0529
0.1700,10.2771,10.3720,10.0812
0.1800,10.3102,10.4140,10.1055
0.1900,10.3412,10.4510,10.1265
0.2000,10.3710,10.4846,10.1452
0.2100,10.3997,10.5155,10.1623
0.2200,10.4270,10.5439,10.1777
0.2300,10.4523,10.5699,10.1917
0.2400,10.4754,10.5942,10.2047
0.2500,10.4967,10.6173,10.2172
0.2600,10.5163,10.6395,10.2292
0.2700,10.5341,10.6608,10.2410
0.2800,10.5502,10.6814,10.2524
0.2900,10.5648,10.7014,10.2635
0.3000,10.5786,10.7210,10.2743
0.3100,10.5923,10.7405,10.2849
0.3200,10.6062,10.7601,10.2955
0.3300,10.6203,10.7796,10.3060
0.3400,10.6346,10.7991,10.3164
0.3500,10.6491,10.8189,10.3269
0.3600,10.6643,10.8395,10.3379
0.3700,10.6808,10.8617,10.3499
0.3800,10.6987,10.8853,10.3630
0.3900,10.7174,10.9094,10.3768
0.4000,10.7360,10.9328,10.3905
0.4100,10.7539,10.9549,10.4035
0.4200,10.7707,10.9752,10.4157
0.4300,10.7861,10.9935,10.4269
0.4400,10.8000,11.0097,10.4370
0.4500,10.8121,11.0236,10.4458
0.4600,10.8227,11.0353,10.4533
0.4700,10.8320,11.0455,10.4597
0.4800,10.8404,11.0546,10.4653
0.4900,10.8481,11.0630,10.4702
0.5000,10.8552,11.0711,10.4748
0.5100,10.8621,11.0793,10.4795
0.5200,10.8693,11.0880,10.4858
0.5300,10.8774,11.0980,10.4949
0.5400,10.8865,11.1091,10.5075
0.5500,10.8960,11.1208,10.5226
0.5600,10.9056,11.1324,10.5385
0.5700,10.9149,11.1434,10.5539
0.5800,10.9239,11.1537,10.5672
0.5900,10.9322,11.1628,10.5767
0.6000,10.9395,11.1701,10.5810
0.6100,10.9453,11.1753,10.5801
0.6200,10.9496,11.1782,10.5760
0.6300,10.9524,11.1790,10.5704
0.6400,10.9538,11.1778,10.5644
0.6500,10.9538,11.1744,10.5588
0.6600,10.9524,11.1695,10.5543
0.6700,10.9505,11.1648,10.5522
0.6800,10.9499,11.1634,10.5540
0.6900,10.9525,11.1676,10.5601
0.7000,10.9586,11.1771,10.5695
0.7100,10.9673,11.1898,10.5806
0.7200,10.9782,11.2043,10.5926
0.7300,10.9908,11.2200,10.6053
0.7400,11.0050,11.2367,10.6187
0.7500,11.0197,11.2529,10.6317
0.7600,11.0326,11.2657,10.6426
0.7700,11.0415,11.2730,10.6497
0.7800,11.0459,11.2749,10.6530
0.7900,11.0461,11.2725,10.6534
0.8000,11.0431,11.2669,10.6517
0.8100,11.0374,11.2590,10.6484
0.8200,11.0298,11.2497,10.6442
0.8300,11.0218,11.2406,10.6402
0.8400,11.0151,11.2334,10.6375
0.8500,11.0110,11.2296,10.6369
0.8600,11.0093,11.2290,10.6380
0.8700,11.0097,11.2313,10.6405
0.8800,11.0130,11.2373,10.6448
0.8900,11.0208,11.2484,10.6513
0.9000,11.0338,11.2645,10.6597
0.9100,11.0483,11.2809,10.6671
0.9200,11.0569,11.2895,10.6694
0.9300,11.0532,11.2837,10.6635
0.9400,11.0351,11.2607,10.6485
0.9500,11.0026,11.2206,10.6244
0.9600,10.9564,11.1639,10.5914
0.9700,10.8979,11.0921,10.5498
0.9800,10.8285,11.0074,10.5006
0.9900,10.7507,10.9130,10.4452
1.0000,10.6674,10.8127,10.3857
1.0100,10.5823,10.7112,10.3243
1.0200,10.4997,10.6136,10.2640
1.0300,10.4241,10.5253,10.2082
1.0400,10.3594,10.4506,10.1598
1.0500,10.3068,10.3905,10.1201
1.0600,10.2635,10.3418,10.0875
1.0700,10.2265,10.3005,10.0594
1.0800,10.1946,10.2645,10.0346
1.0900,10.1680,10.2340,10.0131
1.1000,10.1471,10.2099,9.9954
1.1100,10.1329,10.1934,9.9824
1.1200,10.1287,10.1874,9.9758
1.1300,10.1391,10.1970,9.9792
1.1400,10.1654,10.2263,9.9953
1.1500,10.2021,10.2722,10.0222
1.1600,10.2408,10.3238,10.0529
1.1700,10.2771,10.3720,10.0812
1.1800,10.3102,10.4140,10.1055
1.1900,10.3412,10.4510,10.1265
1.2000,10.3710,10.4846,10.1452
1.2100,10.3997,10.5155,10.1623
1.2200,10.4270,10.5439,10.1777
1.2300,10.4523,10.5699,10.1917
1.2400,10.4754,10.5942,10.2047
1.2500,10.4967,10.6173,10.2172
1.2600,10.5163,10.6395,10.2292
1.2700,10.5341,10.6608,10.2410
1.2800,10.5502,10.6814,10.2524
1.2900,10.5648,10.7014,10.2635
1.3000,10.5786,10.7210,10.2743
1.3100,10.5923,10.7405,10.2849
1.3200,10.6062,10.7601,10.2955
1.3300,10.6203,10.7796,10.3060
1.3400,10.6346,10.7991,10.3164
1.3500,10.6491,10.8189,10.3269
1.3600,10.6643,10.8395,10.3379
1.3700,10.6808,10.8617,10.3499
1.3800,10.6987,10.8853,10.3630
1.3900,10.7174,10.9094,10.3768
1.4000,10.7360,10.9328,10.3905
1.4100,10.7539,10.9549,10.4035
1.4200,10.7707,10.9752,10.4157
1.4300,10.7861,10.9935,10.4269
1.4400,10.8000,11.0097,10.4370
1.4500,10.8121,11.0236,10.4458
1.4600,10.8227,11.0353,10.4533
1.4700,10.8320,11.0455,10.4597
1.4800,10.8404,11.0546,10.4653
1.4900,10.8481,11.0630,10.4702
1.5000,10.8552,11.0711,10.4748
