JD,mag_B,err_B,epoch,mag_R,err_R,mag_V,err_V
2460997.421527778,-10.207903792492596,0.076308567207666,1,,,,
2460997.4419444446,-10.127421654978708,0.0089484359608743,1,,,,
2460997.4509490742,-10.091857192506891,0.0087501295076208,1,,,,
2460997.460347222,-10.04367747152271,0.00591023490576,1,,,,
2460997.4724305556,-9.98616752546928,0.0045977665539276,1,,,,
2460997.4825,-9.92979421949801,0.0050258939351467,1,,,,
2460997.5397222224,-9.728800354726156,0.0074838254534135,1,,,,
2460997.548263889,-9.729519157038716,0.0062649656006453,1,,,,
2460997.561875,-9.73866452995866,0.0080989161652833,1,,,,
2460997.5702314815,-9.751589920776148,0.0093773785624495,1,,,,
2460999.519358623,-10.394490249163868,0.0061981862673623,2,,,,
2460999.5468996875,-10.347650178651625,0.0071403629894535,2,,,,
2460999.5627849074,-10.267947911094703,0.0072409823545565,2,,,,
2460999.575905625,-10.222217696544238,0.005431665802353,2,,,,
2460999.591438044,-10.154413394068316,0.0057102002577585,2,,,,
2460997.444976852,,,1,-10.399169095450116,0.0029843563020085,,
2460997.453865741,,,1,-10.364868649330292,0.0035096310276846,,
2460997.463287037,,,1,-10.334502710014055,0.0034951176585837,,
2460997.4753703703,,,1,-10.297640698310069,0.0037142045624185,,
2460997.4854166666,,,1,-10.263333359398564,0.0030909890457817,,
2460997.5428935187,,,1,-10.128156923016732,0.0035315714610945,,
2460997.564791667,,,1,-10.137908677911916,0.0030395706002321,,
2460997.573148148,,,1,-10.146585300454433,0.0037156236885906,,
2460999.5227403124,,,2,-10.571818544397104,0.003803262483663,,
2460999.550288507,,,2,-10.521737450105393,0.0033905623614,,
2460999.565714294,,,2,-10.482910845818596,0.0036190810387344,,
2460999.5788320024,,,2,-10.442574215111106,0.0031699865201188,,
2460999.5950389123,,,2,-10.39903868497754,0.003576744108857,,
2460997.426458333,,,1,,,-10.76701042193362,0.0043664100647591
2460997.443402778,,,1,,,-10.708987661819476,0.0031182584090773
2460997.4524074076,,,1,,,-10.678399986524347,0.0039109028152594
2460997.4618287035,,,1,,,-10.653466605653623,0.0040093747082262
2460997.473888889,,,1,,,-10.594911790702271,0.0038143924144965
2460997.4839583333,,,1,,,-10.565041242378294,0.0030387484332847
2460997.5413194443,,,1,,,-10.399737333119647,0.0037594828448438
2460997.549837963,,,1,,,-10.400565606984198,0.0037217593306856
2460997.5633333335,,,1,,,-10.401006690524614,0.004303833977316
2460997.571689815,,,1,,,-10.432680880420886,0.0044347270983988
2460999.5208201506,,,2,,,-10.931438722753589,0.0040648656966352
2460999.548362211,,,2,,,-10.874508048997534,0.0032731266419275
2460999.5642512385,,,2,,,-10.825052943956049,0.003951080741416
2460999.577368692,,,2,,,-10.78154610703258,0.0037554259457229
2460999.5933942823,,,2,,,-10.727300876142134,0.0039785554101735
