#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,RZ CEP,000-BDC-590,2458773.25581,9.6958,0.0128,False,Johnson V,CCD,SJTS,,
2,RZ CEP,000-BDC-590,2458773.256076,9.6931,0.0128,False,Johnson V,CCD,SJTS,,
3,RZ CEP,000-BDC-590,2458773.256215,9.6887,0.0131,False,Johnson V,CCD,SJTS,,
4,RZ CEP,000-BDC-590,2458773.256354,9.6779,0.013,False,Johnson V,CCD,SJTS,,
5,RZ CEP,000-BDC-590,2458773.256493,9.6951,0.013,False,Johnson V,CCD,SJTS,,
6,RZ CEP,000-BDC-590,2458773.256632,9.6934,0.0128,False,Johnson V,CCD,SJTS,,
7,RZ CEP,000-BDC-590,2458773.256771,9.6861,0.0128,False,Johnson V,CCD,SJTS,,
8,RZ CEP,000-BDC-590,2458773.256898,9.6761,0.013,False,Johnson V,CCD,SJTS,,
9,RZ CEP,000-BDC-590,2458773.257037,9.6869,0.0128,False,Johnson V,CCD,SJTS,,
10,RZ CEP,000-BDC-590,2458773.257176,9.6804,0.0129,False,Johnson V,CCD,SJTS,,
11,RZ CEP,000-BDC-590,2458773.257315,9.684,0.0128,False,Johnson V,CCD,SJTS,,
12,RZ CEP,000-BDC-590,2458773.257454,9.6861,0.0128,False,Johnson V,CCD,SJTS,,
13,RZ CEP,000-BDC-590,2458773.257593,9.688,0.0128,False,Johnson V,CCD,SJTS,,
14,RZ CEP,000-BDC-590,2458773.25772,9.6738,0.0127,False,Johnson V,CCD,SJTS,,
15,RZ CEP,000-BDC-590,2458773.257859,9.6684,0.0128,False,Johnson V,CCD,SJTS,,
16,RZ CEP,000-BDC-590,2458773.257998,9.6902,0.0128,False,Johnson V,CCD,SJTS,,
17,RZ CEP,000-BDC-590,2458773.258137,9.6559,0.0127,False,Johnson V,CCD,SJTS,,
18,RZ CEP,000-BDC-590,2458773.258275,9.6851,0.0127,False,Johnson V,CCD,SJTS,,
19,RZ CEP,000-BDC-590,2458773.258414,9.6876,0.0127,False,Johnson V,CCD,SJTS,,
20,RZ CEP,000-BDC-590,2458773.258553,9.6838,0.0129,False,Johnson V,CCD,SJTS,,
21,RZ CEP,000-BDC-590,2458773.258692,9.7029,0.0127,False,Johnson V,CCD,SJTS,,
