jd,mag,uncertainty
2457672.48215,9.737,0.005
2457672.4834,9.74,0.005
2457672.48465,9.738,0.005
2457672.48591,9.74,0.005
2457672.48716,9.749,0.005
2457672.48843,9.748,0.005
2457672.48968,9.742,0.005
2457672.49094,9.746,0.005
2457672.49219,9.733,0.005
2457672.49345,9.744,0.005
2457672.49471,9.752,0.005
2457672.49596,9.747,0.005
2457672.49722,9.737,0.005
2457672.49847,9.741,0.005
2457672.50083,9.755,0.005
2457672.50209,9.747,0.005
2457672.50334,9.751,0.005
2457672.50461,9.741,0.005
2457672.50586,9.746,0.005
2457672.50712,9.736,0.005
2457672.50838,9.739,0.005
2457672.50963,9.734,0.005
2457672.51089,9.753,0.005
2457672.51214,9.732,0.005
2457672.5134,9.728,0.005
2457672.51465,9.746,0.005
2457672.51591,9.732,0.005
2457672.51716,9.734,0.005
2457672.51843,9.734,0.005
2457672.51969,9.711,0.005
2457672.52094,9.717,0.005
2457672.5222,9.715,0.005
2457672.52345,9.715,0.005
2457672.52471,9.708,0.005
2457672.52596,9.71,0.005
2457672.52722,9.719,0.005
2457672.52847,9.704,0.005
2457672.52973,9.713,0.005
2457672.531,9.698,0.005
2457672.53225,9.691,0.005
2457672.53351,9.691,0.005
2457672.53476,9.692,0.005
2457672.53602,9.685,0.005
2457672.53728,9.679,0.005
2457672.53853,9.677,0.005
2457672.53979,9.67,0.005
2457672.54104,9.671,0.005
2457672.5423,9.66,0.005
2457672.54355,9.657,0.005
2457672.54481,9.644,0.005
2457672.54606,9.636,0.005
2457672.54733,9.63,0.005
2457672.54859,9.62,0.005
2457672.54984,9.62,0.005
2457672.5511,9.611,0.005
2457672.55235,9.601,0.005
2457672.55361,9.591,0.005
2457672.55486,9.58,0.005
2457672.55612,9.561,0.005
2457672.55738,9.543,0.005
2457672.55863,9.535,0.005
2457672.5599,9.523,0.005
2457672.56115,9.522,0.005
2457672.56241,9.492,0.005
2457672.56367,9.486,0.005
2457672.56492,9.474,0.005
2457672.56618,9.45,0.005
2457672.56743,9.439,0.005
2457672.56869,9.413,0.005
2457672.56995,9.399,0.005
2457672.5712,9.37,0.005
2457672.57247,9.361,0.005
2457672.57372,9.34,0.004
2457672.57497,9.322,0.004
2457672.57623,9.299,0.004
2457672.57748,9.293,0.004
2457672.57874,9.267,0.004
2457672.58,9.258,0.004
2457672.58125,9.246,0.004
2457672.58251,9.237,0.004
2457672.58376,9.218,0.004
2457672.58502,9.204,0.004
2457672.58627,9.192,0.004
2457672.58753,9.195,0.004
2457672.5888,9.187,0.004
2457672.59005,9.183,0.004
2457672.59131,9.177,0.004
2457672.59257,9.178,0.004
2457672.59382,9.178,0.004
2457672.59508,9.187,0.004
2457672.59634,9.179,0.004
2457672.59759,9.187,0.004
2457672.59885,9.191,0.004
2457672.6001,9.201,0.004
2457672.60137,9.206,0.004
2457672.60262,9.205,0.004
2457672.60388,9.217,0.004
2457672.60514,9.211,0.004
2457672.60639,9.211,0.004
2457672.60765,9.208,0.004
2457672.6089,9.208,0.004
2457672.61016,9.192,0.004
2457672.61534,9.191,0.004
2457672.61659,9.198,0.004
2457672.61784,9.196,0.004
2457672.6191,9.18,0.004
2457672.62036,9.187,0.004
2457672.62161,9.194,0.004
2457672.62287,9.192,0.004
2457672.62413,9.204,0.004
2457672.62538,9.197,0.004
2457672.62664,9.217,0.004
2457672.62791,9.215,0.004
2457672.62916,9.215,0.004
2457672.63042,9.192,0.004
2457672.63167,9.199,0.004
2457672.63293,9.206,0.004
2457672.63419,9.197,0.004
2457672.63544,9.222,0.004
2457672.6367,9.229,0.004
2457672.63796,9.227,0.004
2457672.63921,9.218,0.004
2457672.64047,9.216,0.004
2457672.64174,9.22,0.004
2457672.64299,9.229,0.004
2457672.64425,9.22,0.004
2457672.64551,9.225,0.004
2457672.64676,9.238,0.004
2457672.64802,9.237,0.004
2457672.64927,9.243,0.004
2457672.65053,9.257,0.004
2457672.65179,9.272,0.004
2457672.65304,9.276,0.004
2457672.65431,9.26,0.004
2457672.65557,9.267,0.004
2457672.65682,9.286,0.004
2457672.65808,9.295,0.004
2457672.65933,9.298,0.004
2457672.66059,9.287,0.004
2457672.66184,9.289,0.004
2457672.6631,9.303,0.004
2457672.66436,9.304,0.004
2457672.66561,9.301,0.004
2457672.66688,9.304,0.004
2457672.66814,9.316,0.004
2457672.66939,9.321,0.004
2457672.67065,9.322,0.004
2457672.6719,9.326,0.004
2457672.67316,9.334,0.004
2457672.67442,9.335,0.004
2457672.67567,9.346,0.004
2457672.67693,9.36,0.004
2457672.67818,9.365,0.004
2457672.67944,9.36,0.004
2457672.68069,9.35,0.004
2457672.68196,9.371,0.004
2457672.68321,9.377,0.004
2457672.68447,9.376,0.004
2457672.68572,9.378,0.004
2457672.68698,9.383,0.004
2457672.68824,9.389,0.004
2457672.69075,9.4,0.004
2457672.69201,9.422,0.004
2457672.69326,9.416,0.004
2457672.69453,9.414,0.004
2457672.69579,9.423,0.004
2457672.69704,9.426,0.004
2457672.6983,9.43,0.004
2457672.69956,9.43,0.004
2457672.70081,9.435,0.004
2457672.70207,9.427,0.004
2457672.70332,9.429,0.004
2457672.70458,9.451,0.004
2457672.70583,9.447,0.004
2457672.70709,9.448,0.004
2457672.70836,9.458,0.004
2457672.70961,9.469,0.004
2457672.71087,9.475,0.004
2457672.71212,9.47,0.004
2457672.71338,9.481,0.004
2457672.71463,9.478,0.004
2457672.71589,9.466,0.004
2457672.71714,9.478,0.004
2457672.7184,9.487,0.004
2457672.71965,9.488,0.004
2457672.72091,9.501,0.004
2457672.72216,9.51,0.004
2457672.72343,9.503,0.004
2457672.72468,9.511,0.004
2457672.72593,9.522,0.004
2457672.72719,9.523,0.004
2457672.72845,9.528,0.004
2457672.7297,9.526,0.004
2457672.73096,9.53,0.004
2457672.73221,9.541,0.004
2457672.73347,9.549,0.004
2457672.73473,9.557,0.004
2457672.73598,9.555,0.004
2457672.73725,9.564,0.004
2457672.7385,9.558,0.004
2457672.73976,9.568,0.004
2457672.74101,9.571,0.004
2457672.74227,9.576,0.004
2457672.74352,9.559,0.004
